employee_id,full_name,gender,birth_date,hire_date,termination_date,employment_status_current,dept_code,job_code,band,position_code,is_manager,manager_employee_id,location_code,job_group_code,case_study_tag
E000001,Vũ Ngọc,F,1985-04-05,2017-12-01,2022-05-01,Terminated,01CN000087,MH049C,Band 2,1CN00057,0,E000567,HSC01,BO,
E000002,Lê Lâm,F,1976-02-13,2020-07-01,,Active,01CN000010,MJ011M,Band 4,1CN00900,0,E000732,TDU01,TL,
E000003,Trần Tùng,M,1980-11-14,2020-11-01,2022-05-01,Terminated,01CN000001,MJ011M,Band 5,1CN00533,1,E001086,HNO63,TL,
E000004,Trần Nam,M,1989-11-17,2016-09-01,2021-08-01,Terminated,01CN000037,MJ010S,Band 4,1CN00531,0,E000962,HCM01,BO,
E000005,Mai Lâm,F,1985-01-08,2014-09-01,,Active,01QT000010,FC006M,Band 6,1QT00165,1,E000943,HSC01,BO,
E000006,Phạm Tùng,M,1973-11-18,2019-04-01,,Active,01QT000022,VE001S,Band 4,1QT00079,0,E000180,HSC01,BO,
E000007,Hoàng Chi,F,1980-08-27,2014-09-01,,Active,01CN000078,MK044S,Band 4,1CN01146,0,E001689,HSC02,BO,
E000008,Bùi An Xuân,M,1987-03-26,2016-06-01,,Active,01CN000057,MJ017E,Band 4,1CN00887,0,E000098,HCM01,RM,
E000009,Phạm Bảo,F,1990-08-15,2019-12-01,2023-05-01,Terminated,01CN000057,MJ017E,Band 4,1CN00333,0,E001385,HDU01,RM,
E000010,Bùi Hà,F,1973-09-08,2019-05-01,,Active,01CN000038,M00110,Band 2,1CN00562,0,E001262,KHO01,RM,
E000011,Đặng Quang,M,1995-10-19,2013-06-01,,Active,01CN000073,AA052C,K,1CN01227,0,E001850,HNO34,BO,
E000012,Dương Nhật,F,1999-12-05,2019-01-01,,Active,01CN000076,MJ044S,Band 3,1CN01359,0,E000139,HCM04,RM,
E000013,Bùi Xuân,F,1984-06-06,2020-09-01,,Active,01CN000067,BA013M,Band 6,1CN01319,1,E001713,HCM19,HH,
E000014,Vũ Tùng,M,1987-03-03,2020-09-01,2025-05-01,Terminated,01CN000040,BA013M,Band 6,1CN00769,1,E000595,HCM17,HH,
E000015,Trần Nhật,F,1998-01-07,2018-11-01,2024-02-01,Terminated,01CN000073,AA052C,K,1CN01227,0,E001544,HNO34,BO,
